genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
LOC782550,,,,,,,,,,
LOC112446906,,,,,,,,,,
LOC100140445,,,,,,,,,,
GAS2L3,Q3ZBD9,MARE1_BOVIN,Microtubule-associated protein RP/EB family member 1,MAPRE1,Bos taurus (Bovine),Reviewed,cell division cell migration microtubule bundle formation microtubule polymerization negative regulation of microtubule polymerization non-motile cilium assembly positive regulation of microtubule plus-end binding positive regulation of microtubule polymerization protein localization to centrosome protein localization to microtubule protein localization to microtubule plus-end Gaudet P. regulation of microtubule polymerization or depolymerization Gaudet P. spindle assembly Gaudet P.,"Cell cycle, Cell division, Mitosis",,
LOC112446714,,,,,,,,,,
LOC112446715,,,,,,,,,,
LOC112446713,,,,,,,,,,
ANO4,A6QLE6,ANO4_BOVIN,Anoctamin-4,ANO4,Bos taurus (Bovine),Reviewed,calcium activated phospholipid scrambling chloride transmembrane transport Gaudet P. transmembrane transport Gaudet P.,"Lipid transport, Transport",,
MIR2434,,,,,,,,,,
LOC101905784,,,,,,,,,,
SLC5A8,C8KIL7,C8KIL7_BOVIN,Anoctamin-4,ANO4,Bos taurus (Bovine),Reviewed,calcium activated phospholipid scrambling chloride transmembrane transport Gaudet P. transmembrane transport Gaudet P.,"Lipid transport, Transport",,
LOC101908204,,,,,,,,,,
UTP20,E1BGE2,E1BGE2_BOVIN,Anoctamin-4,ANO4,Bos taurus (Bovine),Reviewed,calcium activated phospholipid scrambling chloride transmembrane transport Gaudet P. transmembrane transport Gaudet P.,"Lipid transport, Transport",,
ARL1,Q2YDM1,ARL1_BOVIN,ADP-ribosylation factor-like protein 1,ARL1,Bos taurus (Bovine),Reviewed,"activation of phospholipase D activity Golgi organization intracellular protein transport Gaudet P. protein localization to Golgi apparatus retrograde transport, endosome to Golgi toxin metabolic process vesicle-mediated transport Gaudet P.",,,"GTP-binding, Magnesium, Metal-binding, Nucleotide-binding"
LOC101902002,,,,,,,,,,
SPIC,Q1RML4,SPIC_BOVIN,Transcription factor Spi-C,SPIC,Bos taurus (Bovine),Reviewed,cell differentiation Gaudet P. regulation of transcription by RNA polymerase II Gaudet P.,"Transcription, Transcription regulation",DNA-binding,
MYBPC1,A6QP89,A6QP89_BOVIN,Transcription factor Spi-C,SPIC,Bos taurus (Bovine),Reviewed,cell differentiation Gaudet P. regulation of transcription by RNA polymerase II Gaudet P.,"Transcription, Transcription regulation",DNA-binding,
CHPT1,Q1LZE6,CHPT1_BOVIN,,,,,,,,
LOC112446716,,,,,,,,,,
SYCP3,Q3T0E2,SYCP3_BOVIN,Synaptonemal complex protein 3,SYCP3,Bos taurus (Bovine),Reviewed,cell division meiotic cell cycle Gaudet P. spermatid development Gaudet P.,"Cell cycle, Cell division, Meiosis",DNA-binding,
GNPTAB,Q58CS8,GNPTG_BOVIN,,,,,,,,
LOC101902154,,,,,,,,,,
DRAM1,Q3ZC48,DRAM2_BOVIN,DNA damage-regulated autophagy modulator protein 2,DRAM2,Bos taurus (Bovine),Reviewed,apoptotic process autophagy photoreceptor cell maintenance regulation of autophagy Gaudet P. visual perception,"Apoptosis, Autophagy",,
LOC782673,,,,,,,,,,
LOC104972477,,,,,,,,,,
WASHC3,Q05B58,WASC3_BOVIN,WASH complex subunit 3,WASHC3,Bos taurus (Bovine),Reviewed,actin filament polymerization Gaudet P. exocytosis Gaudet P. protein transport,"Protein transport, Transport",,
NUP37,Q3ZCC9,SEC13_BOVIN,Protein SEC13 homolog,SEC13,Bos taurus (Bovine),Reviewed,COPII-coated vesicle budding Gaudet P. COPII-coated vesicle cargo loading mRNA transport positive regulation of TORC1 signaling positive regulation of TOR signaling Gaudet P. protein exit from endoplasmic reticulum protein import into nucleus Gaudet P. protein localization to plasma membrane,"ER-Golgi transport, mRNA transport, Protein transport, Translocation, Transport",,
LOC101904077,,,,,,,,,,
PARPBP,Q3ZBW4,PCNA_BOVIN,Proliferating cell nuclear antigen,PCNA,Bos taurus (Bovine),Reviewed,"base-excision repair, gap-filling cellular response to UV cellular response to xenobiotic stimulus epithelial cell differentiation leading strand elongation Gaudet P. mismatch repair Gaudet P. mitotic telomere maintenance via semi-conservative replication negative regulation of transcription by RNA polymerase II positive regulation of deoxyribonuclease activity positive regulation of DNA-directed DNA polymerase activity positive regulation of DNA repair positive regulation of DNA replication replication fork processing translesion synthesis","DNA damage, DNA repair, DNA replication",DNA-binding,
PMCH,A1Z2Z3,A1Z2Z3_BOVIN,Proliferating cell nuclear antigen,PCNA,Bos taurus (Bovine),Reviewed,"base-excision repair, gap-filling cellular response to UV cellular response to xenobiotic stimulus epithelial cell differentiation leading strand elongation Gaudet P. mismatch repair Gaudet P. mitotic telomere maintenance via semi-conservative replication negative regulation of transcription by RNA polymerase II positive regulation of deoxyribonuclease activity positive regulation of DNA-directed DNA polymerase activity positive regulation of DNA repair positive regulation of DNA replication replication fork processing translesion synthesis","DNA damage, DNA repair, DNA replication",DNA-binding,
LOC112446820,,,,,,,,,,
LOC783823,,,,,,,,,,
LOC112446717,,,,,,,,,,
IGF1,P07455,IGF1_BOVIN,Insulin-like growth factor I,IGF1,Bos taurus (Bovine),Reviewed,cell population proliferation Keys J.E. hyperosmotic salinity response McCormick S.D. insulin-like growth factor receptor signaling pathway negative regulation of apoptotic process negative regulation of release of cytochrome c from mitochondria negative regulation of sodium:potassium-exchanging ATPase activity McCormick S.D. positive regulation of cell population proliferation positive regulation of glucose import positive regulation of glycogen biosynthetic process positive regulation of sodium:potassium-exchanging ATPase activity McCormick S.D. response to electrical stimulus Rodriguez M. response to food Khan M.J. response to growth hormone Molento C.F. Boonsanit D. response to insulin Molento C.F. Griinari J.M. response to magnetism Rodriguez M.,,Growth factor,
LOC112446897,,,,,,,,,,
LOC101902701,,,,,,,,,,
LOC112446839,,,,,,,,,,
PAH,Q2KIH7,PH4H_BOVIN,Phenylalanine-4-hydroxylase,PAH,Bos taurus (Bovine),Reviewed,L-phenylalanine catabolic process tyrosine biosynthetic process Gaudet P.,Phenylalanine catabolism,"Allosteric enzyme, Monooxygenase, Oxidoreductase","Iron, Metal-binding"
ASCL1,E1B7V5,E1B7V5_BOVIN,Phenylalanine-4-hydroxylase,PAH,Bos taurus (Bovine),Reviewed,L-phenylalanine catabolic process tyrosine biosynthetic process Gaudet P.,Phenylalanine catabolism,"Allosteric enzyme, Monooxygenase, Oxidoreductase","Iron, Metal-binding"
LOC101906016,,,,,,,,,,
LOC112446884,,,,,,,,,,
LOC112446615,,,,,,,,,,
C5H12orf42,,,,,,,,,,
STAB2,F1MYW1,F1MYW1_BOVIN,Phenylalanine-4-hydroxylase,PAH,Bos taurus (Bovine),Reviewed,L-phenylalanine catabolic process tyrosine biosynthetic process Gaudet P.,Phenylalanine catabolism,"Allosteric enzyme, Monooxygenase, Oxidoreductase","Iron, Metal-binding"
NT5DC3,F1MYW0,F1MYW0_BOVIN,Phenylalanine-4-hydroxylase,PAH,Bos taurus (Bovine),Reviewed,L-phenylalanine catabolic process tyrosine biosynthetic process Gaudet P.,Phenylalanine catabolism,"Allosteric enzyme, Monooxygenase, Oxidoreductase","Iron, Metal-binding"
LOC505479,F1MRZ1,F1MRZ1_BOVIN,Phenylalanine-4-hydroxylase,PAH,Bos taurus (Bovine),Reviewed,L-phenylalanine catabolic process tyrosine biosynthetic process Gaudet P.,Phenylalanine catabolism,"Allosteric enzyme, Monooxygenase, Oxidoreductase","Iron, Metal-binding"
HSP90B1,Q95M18,ENPL_BOVIN,Endoplasmin,HSP90B1,Bos taurus (Bovine),Reviewed,negative regulation of apoptotic process protein folding Gaudet P. response to hypoxia ubiquitin-dependent ERAD pathway,,Chaperone,"ATP-binding, Calcium, Nucleotide-binding"
C5H12orf73,G3N1R3,G3N1R3_BOVIN,Endoplasmin,HSP90B1,Bos taurus (Bovine),Reviewed,negative regulation of apoptotic process protein folding Gaudet P. response to hypoxia ubiquitin-dependent ERAD pathway,,Chaperone,"ATP-binding, Calcium, Nucleotide-binding"
TDG,Q5E9D1,SUMO1_BOVIN,Small ubiquitin-related modifier 1,SUMO1,Bos taurus (Bovine),Reviewed,cellular response to cadmium ion cellular response to heat negative regulation of action potential negative regulation of delayed rectifier potassium channel activity protein sumoylation roof of mouth development,Ubl conjugation pathway,,
GLT8D2,Q2HJ96,GL8D2_BOVIN,,,,,,,,
HCFC2,Q2KIG2,WDR5_BOVIN,WD repeat-containing protein 5,WDR5,Bos taurus (Bovine),Reviewed,histone H3-K4 methylation histone H4-K16 acetylation histone H4-K5 acetylation histone H4-K8 acetylation,"Transcription, Transcription regulation",Chromatin regulator,
NFYB,Q3T0B6,C1QBP_BOVIN,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,Bos taurus (Bovine),Reviewed,"apoptotic process complement activation, classical pathway innate immune response mature ribosome assembly mRNA processing negative regulation of defense response to virus negative regulation of interferon-gamma production negative regulation of interleukin-12 production negative regulation of MDA-5 signaling pathway negative regulation of mRNA splicing, via spliceosome negative regulation of RIG-I signaling pathway negative regulation of transcription by RNA polymerase II phosphatidylinositol 3-kinase signaling positive regulation of apoptotic process positive regulation of cell adhesion positive regulation of dendritic cell chemotaxis positive regulation of mitochondrial translation positive regulation of neutrophil chemotaxis positive regulation of protein kinase B signaling positive regulation of substrate adhesion-dependent cell spreading positive regulation of trophoblast cell migration regulation of complement activation RNA splicing","Adaptive immunity, Apoptosis, Complement pathway, Immunity, Innate immunity, mRNA processing, mRNA splicing, Ribosome biogenesis, Transcription, Transcription regulation",,
MIR2435,,,,,,,,,,
TRNAA-UGC,,,,,,,,,,
LOC101906262,,,,,,,,,,
EID3,Q29RP8,KMT5B_BOVIN,Histone-lysine N-methyltransferase KMT5B,KMT5B,Bos taurus (Bovine),Reviewed,DNA repair histone H4-K20 dimethylation histone H4-K20 trimethylation Gaudet P. muscle organ development positive regulation of double-strand break repair via nonhomologous end joining positive regulation of isotype switching,"Myogenesis, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase","Metal-binding, S-adenosyl-L-methionine, Zinc"
LOC112446721,,,,,,,,,,
CHST11,F1N663,F1N663_BOVIN,Histone-lysine N-methyltransferase KMT5B,KMT5B,Bos taurus (Bovine),Reviewed,DNA repair histone H4-K20 dimethylation histone H4-K20 trimethylation Gaudet P. muscle organ development positive regulation of double-strand break repair via nonhomologous end joining positive regulation of isotype switching,"Myogenesis, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase","Metal-binding, S-adenosyl-L-methionine, Zinc"
LOC112446720,,,,,,,,,,
SLC41A2,E1BG51,E1BG51_BOVIN,Histone-lysine N-methyltransferase KMT5B,KMT5B,Bos taurus (Bovine),Reviewed,DNA repair histone H4-K20 dimethylation histone H4-K20 trimethylation Gaudet P. muscle organ development positive regulation of double-strand break repair via nonhomologous end joining positive regulation of isotype switching,"Myogenesis, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase","Metal-binding, S-adenosyl-L-methionine, Zinc"
C5H12orf45,A0A3Q1MJM5,A0A3Q1MJM5_BOVIN,Histone-lysine N-methyltransferase KMT5B,KMT5B,Bos taurus (Bovine),Reviewed,DNA repair histone H4-K20 dimethylation histone H4-K20 trimethylation Gaudet P. muscle organ development positive regulation of double-strand break repair via nonhomologous end joining positive regulation of isotype switching,"Myogenesis, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase","Metal-binding, S-adenosyl-L-methionine, Zinc"
ALDH1L2,E1BDG9,E1BDG9_BOVIN,Histone-lysine N-methyltransferase KMT5B,KMT5B,Bos taurus (Bovine),Reviewed,DNA repair histone H4-K20 dimethylation histone H4-K20 trimethylation Gaudet P. muscle organ development positive regulation of double-strand break repair via nonhomologous end joining positive regulation of isotype switching,"Myogenesis, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase","Metal-binding, S-adenosyl-L-methionine, Zinc"
LOC786352,A0A3Q1NIX0,A0A3Q1NIX0_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC515697,F6QSG5,F6QSG5_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC518495,A0A3Q1MB94,A0A3Q1MB94_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC788334,A0A3Q1NAS1,A0A3Q1NAS1_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC524576,,,,,,,,,,
LOC112446725,,,,,,,,,,
APOL3,A6QPR4,A6QPR4_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC112446726,E1BHJ7,E1BHJ7_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC619179,,,,,,,,,,
LOC101906044,,,,,,,,,,
MYH9,F1MQ37,F1MQ37_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC112446616,,,,,,,,,,
LOC112446838,,,,,,,,,,
TXN2,Q95108,THIOM_BOVIN,"Thioredoxin, mitochondrial",TXN2,Bos taurus (Bovine),Reviewed,cell redox homeostasis glycerol ether metabolic process,"Electron transport, Transport",,
FOXRED2,E1BD49,E1BD49_BOVIN,"Thioredoxin, mitochondrial",TXN2,Bos taurus (Bovine),Reviewed,cell redox homeostasis glycerol ether metabolic process,"Electron transport, Transport",,
EIF3D,Q3T122,EIF3D_BOVIN,Eukaryotic translation initiation factor 3 subunit D,EIF3D,Bos taurus (Bovine),Reviewed,cap-dependent translational initiation formation of cytoplasmic translation initiation complex IRES-dependent viral translational initiation positive regulation of mRNA binding positive regulation of translation translational initiation viral translational termination-reinitiation,Protein biosynthesis,"Initiation factor, RNA-binding",
CACNG2,A0JNG9,A0JNG9_BOVIN,Eukaryotic translation initiation factor 3 subunit D,EIF3D,Bos taurus (Bovine),Reviewed,cap-dependent translational initiation formation of cytoplasmic translation initiation complex IRES-dependent viral translational initiation positive regulation of mRNA binding positive regulation of translation translational initiation viral translational termination-reinitiation,Protein biosynthesis,"Initiation factor, RNA-binding",
IFT27,Q0VCN3,IFT27_BOVIN,Intraflagellar transport protein 27 homolog,IFT27,Bos taurus (Bovine),Reviewed,cell differentiation intracellular protein transport intraciliary transport kidney development smoothened signaling pathway spermatogenesis,"Differentiation, Protein transport, Spermatogenesis, Transport",,"GTP-binding, Nucleotide-binding"
LOC101906435,,,,,,,,,,
PVALB,Q0VCG3,PRVA_BOVIN,,,,,,,,
NCF4,O46522,CY24B_BOVIN,Cytochrome b-245 heavy chain,CYBB,Bos taurus (Bovine),Reviewed,defense response Gaudet P. inflammatory response innate immune response regulation of ion transmembrane transport superoxide anion generation Gaudet P. superoxide metabolic process Han W.Q.,"Electron transport, Ion transport, Transport","Ion channel, Oxidoreductase, Voltage-gated channel","FAD, Flavoprotein, Heme, Iron, Metal-binding, NADP"
CSF2RB,Q9BDR7,FCERG_BOVIN,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,Bos taurus (Bovine),Reviewed,antigen processing and presentation of exogenous peptide antigen via MHC class I Gaudet P. antigen processing and presentation of exogenous peptide antigen via MHC class II Gaudet P. cellular response to low-density lipoprotein particle stimulus defense response to bacterium Gaudet P. Fc-gamma receptor signaling pathway Gaudet P. Fc receptor mediated stimulatory signaling pathway Gaudet P. immunoglobulin mediated immune response Gaudet P. innate immune response Gaudet P. interleukin-3-mediated signaling pathway neutrophil activation involved in immune response Gaudet P. neutrophil chemotaxis Gaudet P. positive regulation of interleukin-4 production positive regulation of phagocytosis Gaudet P. receptor internalization regulation of platelet activation Gaudet P. T cell differentiation involved in immune response Gaudet P.,"Immunity, Innate immunity","IgE-binding protein, Receptor",
LOC788541,,,,,,,,,,
TEX33,Q32LI7,Q32LI7_BOVIN,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,Bos taurus (Bovine),Reviewed,antigen processing and presentation of exogenous peptide antigen via MHC class I Gaudet P. antigen processing and presentation of exogenous peptide antigen via MHC class II Gaudet P. cellular response to low-density lipoprotein particle stimulus defense response to bacterium Gaudet P. Fc-gamma receptor signaling pathway Gaudet P. Fc receptor mediated stimulatory signaling pathway Gaudet P. immunoglobulin mediated immune response Gaudet P. innate immune response Gaudet P. interleukin-3-mediated signaling pathway neutrophil activation involved in immune response Gaudet P. neutrophil chemotaxis Gaudet P. positive regulation of interleukin-4 production positive regulation of phagocytosis Gaudet P. receptor internalization regulation of platelet activation Gaudet P. T cell differentiation involved in immune response Gaudet P.,"Immunity, Innate immunity","IgE-binding protein, Receptor",
TST,P00586,THTR_BOVIN,Thiosulfate sulfurtransferase,TST,Bos taurus (Bovine),Reviewed,rRNA import into mitochondrion rRNA transport transsulfuration Gaudet P.,,"RNA-binding, Transferase",
MPST,A0A3Q1M9D2,A0A3Q1M9D2_BOVIN,Thiosulfate sulfurtransferase,TST,Bos taurus (Bovine),Reviewed,rRNA import into mitochondrion rRNA transport transsulfuration Gaudet P.,,"RNA-binding, Transferase",
KCTD17,F1MWW3,F1MWW3_BOVIN,Thiosulfate sulfurtransferase,TST,Bos taurus (Bovine),Reviewed,rRNA import into mitochondrion rRNA transport transsulfuration Gaudet P.,,"RNA-binding, Transferase",
TMPRSS6,F1MWW8,F1MWW8_BOVIN,Thiosulfate sulfurtransferase,TST,Bos taurus (Bovine),Reviewed,rRNA import into mitochondrion rRNA transport transsulfuration Gaudet P.,,"RNA-binding, Transferase",
IL2RB,Q28028,IL15_BOVIN,Interleukin-15,IL15,Bos taurus (Bovine),Reviewed,cell maturation extrathymic T cell selection immune response interleukin-15-mediated signaling pathway lymph node development macrophage differentiation negative regulation of cold-induced thermogenesis neutrophil activation NK T cell proliferation positive regulation of cytokine production Gaudet P. positive regulation of immune response Gaudet P. positive regulation of interleukin-17 production positive regulation of natural killer cell differentiation positive regulation of natural killer cell proliferation positive regulation of peptidyl-tyrosine phosphorylation positive regulation of phagocytosis positive regulation of protein O-linked glycosylation positive regulation of T cell proliferation Gaudet P. positive regulation of tyrosine phosphorylation of STAT protein Gaudet P. regulation of defense response to virus by host regulation of T cell differentiation tyrosine phosphorylation of STAT protein,,Cytokine,
LOC510185,,,,,,,,,,
C1QTNF6,F1MGK1,F1MGK1_BOVIN,Interleukin-15,IL15,Bos taurus (Bovine),Reviewed,cell maturation extrathymic T cell selection immune response interleukin-15-mediated signaling pathway lymph node development macrophage differentiation negative regulation of cold-induced thermogenesis neutrophil activation NK T cell proliferation positive regulation of cytokine production Gaudet P. positive regulation of immune response Gaudet P. positive regulation of interleukin-17 production positive regulation of natural killer cell differentiation positive regulation of natural killer cell proliferation positive regulation of peptidyl-tyrosine phosphorylation positive regulation of phagocytosis positive regulation of protein O-linked glycosylation positive regulation of T cell proliferation Gaudet P. positive regulation of tyrosine phosphorylation of STAT protein Gaudet P. regulation of defense response to virus by host regulation of T cell differentiation tyrosine phosphorylation of STAT protein,,Cytokine,
LOC112446727,,,,,,,,,,
SSTR3,P34993,SSR2_BOVIN,,,,,,,,
RAC2,Q9TU25,RAC2_BOVIN,Ras-related C3 botulinum toxin substrate 2,RAC2,Bos taurus (Bovine),Reviewed,actin filament organization Gaudet P. cell projection assembly Gaudet P. cortical cytoskeleton organization Gaudet P. engulfment of apoptotic cell Gaudet P. establishment or maintenance of cell polarity Gaudet P. G protein-coupled receptor signaling pathway lymphocyte aggregation motor neuron axon guidance Gaudet P. positive regulation of cell population proliferation positive regulation of lamellipodium assembly positive regulation of neutrophil chemotaxis Rac protein signal transduction Gaudet P. regulation of actin cytoskeleton organization Gaudet P. regulation of cell shape Gaudet P. regulation of cell-substrate adhesion regulation of mast cell chemotaxis regulation of mast cell degranulation regulation of neutrophil migration Gaudet P. regulation of respiratory burst regulation of T cell proliferation,,,"GTP-binding, Nucleotide-binding"
MIR1835,,,,,,,,,,
CYTH4,Q3T0M9,ARL4A_BOVIN,ADP-ribosylation factor-like protein 4A,ARL4A,Bos taurus (Bovine),Reviewed,brown fat cell differentiation intracellular protein transport Gaudet P. vesicle-mediated transport Gaudet P.,,,"GTP-binding, Nucleotide-binding"
ELFN2,F1MWA2,F1MWA2_BOVIN,ADP-ribosylation factor-like protein 4A,ARL4A,Bos taurus (Bovine),Reviewed,brown fat cell differentiation intracellular protein transport Gaudet P. vesicle-mediated transport Gaudet P.,,,"GTP-binding, Nucleotide-binding"
MFNG,Q1LZD7,Q1LZD7_BOVIN,ADP-ribosylation factor-like protein 4A,ARL4A,Bos taurus (Bovine),Reviewed,brown fat cell differentiation intracellular protein transport Gaudet P. vesicle-mediated transport Gaudet P.,,,"GTP-binding, Nucleotide-binding"
CARD10,F1MW90,F1MW90_BOVIN,ADP-ribosylation factor-like protein 4A,ARL4A,Bos taurus (Bovine),Reviewed,brown fat cell differentiation intracellular protein transport Gaudet P. vesicle-mediated transport Gaudet P.,,,"GTP-binding, Nucleotide-binding"
LOC112446845,,,,,,,,,,
LOC112446901,,,,,,,,,,
USP18,A0A3Q1MCA9,A0A3Q1MCA9_BOVIN,ADP-ribosylation factor-like protein 4A,ARL4A,Bos taurus (Bovine),Reviewed,brown fat cell differentiation intracellular protein transport Gaudet P. vesicle-mediated transport Gaudet P.,,,"GTP-binding, Nucleotide-binding"
ALG10,O18965,KCNH1_BOVIN,Potassium voltage-gated channel subfamily H member 1,KCNH1,Bos taurus (Bovine),Reviewed,cellular response to calcium ion phosphatidylinositol-mediated signaling potassium ion transmembrane transport Frings S. regulation of cell population proliferation regulation of ion transmembrane transport regulation of membrane potential Gaudet P.,"Ion transport, Potassium transport, Transport","Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel","Lipid-binding, Potassium"
KLHL42,F1MAX6,F1MAX6_BOVIN,Potassium voltage-gated channel subfamily H member 1,KCNH1,Bos taurus (Bovine),Reviewed,cellular response to calcium ion phosphatidylinositol-mediated signaling potassium ion transmembrane transport Frings S. regulation of cell population proliferation regulation of ion transmembrane transport regulation of membrane potential Gaudet P.,"Ion transport, Potassium transport, Transport","Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel","Lipid-binding, Potassium"
MANSC4,G3MZR6,G3MZR6_BOVIN,Potassium voltage-gated channel subfamily H member 1,KCNH1,Bos taurus (Bovine),Reviewed,cellular response to calcium ion phosphatidylinositol-mediated signaling potassium ion transmembrane transport Frings S. regulation of cell population proliferation regulation of ion transmembrane transport regulation of membrane potential Gaudet P.,"Ion transport, Potassium transport, Transport","Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel","Lipid-binding, Potassium"
MRPS35,Q2YDF6,RT35_BOVIN,"28S ribosomal protein S35, mitochondrial",MRPS35,Bos taurus (Bovine),Reviewed,mitochondrial translation Suzuki T.,,"Ribonucleoprotein, Ribosomal protein",
LOC781532,,,,,,,,,,
REP15,Q1RMR4,RAB15_BOVIN,Ras-related protein Rab-15,RAB15,Bos taurus (Bovine),Reviewed,cellular response to insulin stimulus Gaudet P. protein localization to plasma membrane Gaudet P. protein secretion Gaudet P. Rab protein signal transduction regulation of exocytosis Gaudet P. vesicle docking involved in exocytosis Gaudet P.,"Protein transport, Transport",,"GTP-binding, Nucleotide-binding"
PPFIBP1,P35466,S10A4_BOVIN,Protein S100-A4,S100A4,Bos taurus (Bovine),Reviewed,positive regulation of I-kappaB kinase/NF-kappaB signaling Gaudet P.,,,"Calcium, Metal-binding"
C5H12orf71,F1MF69,F1MF69_BOVIN,Protein S100-A4,S100A4,Bos taurus (Bovine),Reviewed,positive regulation of I-kappaB kinase/NF-kappaB signaling Gaudet P.,,,"Calcium, Metal-binding"
LOC781688,,,,,,,,,,
SMCO2,A0A4W2DY46,A0A4W2DY46_BOBOX,Protein S100-A4,S100A4,Bos taurus (Bovine),Reviewed,positive regulation of I-kappaB kinase/NF-kappaB signaling Gaudet P.,,,"Calcium, Metal-binding"
LOC112446918,,,,,,,,,,
ARNTL2,Q5EA15,BHE40_BOVIN,Class E basic helix-loop-helix protein 40,BHLHE40,Bos taurus (Bovine),Reviewed,"anterior/posterior pattern specification Gaudet P. circadian regulation of gene expression circadian rhythm entrainment of circadian clock by photoperiod negative regulation of DNA-binding transcription factor activity negative regulation of transcription, DNA-templated regulation of circadian rhythm regulation of neurogenesis Gaudet P. regulation of transcription by RNA polymerase II Gaudet P.","Biological rhythms, Transcription, Transcription regulation","DNA-binding, Repressor",
STK38L,F1MH07,MICA1_BOVIN,[F-actin]-monooxygenase MICAL1,MICAL1,Bos taurus (Bovine),Reviewed,actin filament depolymerization negative regulation of cysteine-type endopeptidase activity involved in apoptotic process negative regulation of protein phosphorylation regulation of regulated secretory pathway sulfur oxidation,,"Actin-binding, Monooxygenase, Oxidoreductase","FAD, Flavoprotein, Metal-binding, NADP, Zinc"
